WS,ID,Visual Score,Biological Score,Conductivity (uS/cm),Turbidity (NTU),Phosphate (mg/l),Nitrate (mg/l),pH,Temperature (°C),E.coli (cfu),E.coli Method,date
NORO,503,38.0,13.0,54.0,20.0,,0.9,7.3,,4112.0,,2001-04-28
NORO,505,47.0,,71.0,29.0,,0.5,6.7,,169.0,,2001-04-28
NORO,510,38.0,,79.0,12.0,,,7.1,,,,2001-04-28
NORO,511,27.0,,62.0,5.0,,,,,,,2001-04-28
NORO,512,24.0,,69.0,15.0,,,,,,,2001-04-28
NORO,513,37.0,,52.0,18.0,,1.0,7.1,,201.0,,2001-04-28
NORO,514,42.0,,89.0,10.0,,,,,,,2001-04-28
NORO,515,43.0,,77.0,13.0,,,,,,,2001-04-28
NORO,519,42.0,,53.0,9.0,,,,,,,2001-04-28
NORO,520,31.0,,184.0,16.0,,,,,,,2001-04-28
NORO,521,,,79.0,,,,7.0,,,,2001-04-28
NORO,522,,,74.0,,,,7.0,,,,2001-04-28
NORO,523,,,74.0,,,,7.0,,,,2001-04-28
NORO,524,,,75.0,,,1.3,7.0,,,,2001-04-28
NORO,525,,,75.0,,,,7.0,,,,2001-04-28
NORO,526,,,75.0,,,,7.1,,,,2001-04-28
NORO,601,36.0,2.0,685.0,15.0,,5.1,6.6,,20.0,,2001-04-28
NORO,602,41.0,28.0,44.0,14.0,,0.7,7.0,,120.0,,2001-04-28
NORO,603,46.0,,58.0,8.0,,,,,,,2001-04-28
NORO,607,48.0,,124.0,1.0,,,,,,,2001-04-28
NORO,611,26.0,,88.0,22.0,,,,,,,2001-04-28
NORO,612,35.0,,97.0,4.0,,,,,,,2001-04-28
NORO,616,45.0,2.0,63.0,4.0,,,,,,,2001-04-28
NORO,617,34.0,,41.0,7.0,,,,,,,2001-04-28
NORO,618,32.0,,118.0,2.0,,,,,,,2001-04-28
NORO,621,42.0,,46.0,3.0,,,,,,,2001-04-28
NORO,629,38.0,,206.0,1.0,,,,,,,2001-04-28
NORO,635,34.0,,,9.0,,1.5,,,,,2001-04-28
NORO,636,,,79.0,15.0,,,7.1,,,,2001-04-28
NORO,638,,,79.0,15.0,,,7.3,,,,2001-04-28
NORO,639,,,80.0,7.0,,,7.3,,,,2001-04-28
NORO,640,,,79.0,15.0,,1.3,7.3,,,,2001-04-28
NORO,641,,,88.0,16.0,,,7.3,,,,2001-04-28
NORO,642,,,103.0,13.0,,,7.2,,,,2001-04-28
NORO,643,,,109.0,15.0,,2.0,7.1,,,,2001-04-28
NORO,644,,,106.0,9.0,,1.9,7.2,,,,2001-04-28
NORO,645,,,105.0,7.0,,,7.3,,,,2001-04-28
MIDO,301,,,40.0,4.3,,0.4,7.08,,382.0,,
MIDO,503,,,46.0,7.0,,,,,218.0,,
MIDO,601,46.0,22.0,61.0,,,0.5,7.0,,275.0,,
MIDO,605,,,48.0,8.0,,,,,142.0,,
MIDO,609,,,49.0,7.1,,0.4,,,776.0,,
MIDO,611,,,53.0,12.6,,,,,107.0,,
MIDO,613,,,55.0,15.4,,,,,216.0,,
MIDO,616,35.0,,60.0,3.4,,,,,428.0,,
MIDO,617,,,52.0,22.6,,,,,399.0,,
MIDO,701,,24.0,52.0,,,0.7,6.7,,288.0,,
MIDO,801,,,77.0,14.0,,0.9,7.48,,84.0,,
MIDO,802,43.0,4.0,76.0,3.3,,0.7,7.21,,243.0,,
MIDO,803,24.0,7.0,116.0,6.2,,1.8,7.03,,1014.0,,
MIDO,807,,,72.0,,,,,,,,
MIDO,816,,,58.0,,,,,,331.0,,
MIDO,817,,,49.0,0.0,,,,,,,
MIDO,820,,,40.0,,,,,,,,
MIDO,828,27.0,,80.0,5.8,,,6.62,,1137.0,,
MIDO,890,,,66.0,2.0,,1.0,,,313.0,,
NORO,109,,,35.0,2.6,,,,,259.0,,
NORO,115,,,39.0,,,,,,,,
NORO,117,,,38.0,9.4,,1.0,,,1607.0,,
NORO,201,43.0,26.0,56.0,9.2,,0.6,7.19,,246.0,,
NORO,301,,,54.0,11.0,,,,,644.0,,
NORO,401,32.0,20.0,54.0,7.5,,0.2,6.85,,145.0,,
NORO,501,,,64.0,32.0,,,,,,,
NORO,502,,,232.0,11.9,,,,,1500.0,,
NORO,503,,24.0,71.0,10.5,,0.6,6.89,,278.0,,
NORO,504,,,100.0,22.6,,,,,,,
NORO,505,32.0,,104.0,12.7,,,6.84,,74.0,,
NORO,511,,,52.0,4.6,,,,,,,
NORO,512,,,61.0,,,,,,145.0,,
NORO,513,31.0,,66.0,13.8,,0.6,7.08,,199.0,,
NORO,515,,,59.0,2.8,,0.7,,,318.0,,
NORO,516,,,220.0,0.6,,1.6,,,644.0,,
NORO,517,,,60.0,24.9,,0.5,,,282.0,,
NORO,518,,,,22.6,,,,,,,
NORO,520,,,60.0,,,,,,203.0,,
NORO,601,,0.0,664.0,8.3,,5.5,6.11,,20.0,,
NORO,602,40.0,12.0,71.0,2.3,,,6.61,,74.0,,
NORO,604,,,583.0,6.6,,,,,,,
NORO,605,,,83.0,15.3,,1.0,,,132.0,,
NORO,612,,,71.0,,,,,,,,
NORO,615,18.0,6.0,165.0,1.5,,2.0,6.98,,1076.0,,
NORO,618,,,96.0,2.8,,,,,1119.0,,
NORO,619,,,,,,,,,,,
NORO,620,,,63.0,2.5,,,,,121.0,,
NORO,629,,,157.0,1.9,,2.8,,,7701.0,,
BICO,101,,,72.0,52.0,,,6.74,,,,2003-02-08
MIDO,301,,17.0,45.0,,,0.3,6.54,,512.0,,2003-02-08
MIDO,601,,13.0,51.0,,,0.2,6.3,,305.0,,2003-02-08
MIDO,604,,,51.0,,,,6.1,,1187.0,,2003-02-08
MIDO,701,,,,,,,,,41.0,,2003-02-08
MIDO,719,,,67.0,72.0,,,7.06,,,,2003-02-08
MIDO,801,,,65.0,87.8,,,7.26,,,,2003-02-08
MIDO,802,,16.0,77.0,25.0,,1.0,6.1,,74.0,,2003-02-08
MIDO,803,,4.0,121.0,,,1.9,6.53,,285.0,,2003-02-08
MIDO,826,,,99.0,,,2.0,6.48,,650.0,,2003-02-08
NORO,401,,15.0,50.0,,,,7.12,,52.0,,2003-02-08
NORO,502,,,282.0,9.9,,,7.78,,313.0,,2003-02-08
NORO,503,,9.0,61.0,,,0.3,7.5,,2755.0,,2003-02-08
NORO,506,,,149.0,9.4,,,7.0,,134.0,,2003-02-08
NORO,510,,,63.0,8.9,,,6.31,,,,2003-02-08
NORO,517,,,239.0,10.5,,,7.45,,52.0,,2003-02-08
NORO,520,,,117.0,6.8,,1.3,7.85,,41.0,,2003-02-08
NORO,527,,,114.0,6.1,,,7.6,,63.0,,2003-02-08
NORO,601,,,594.0,8.8,,,6.37,,,,2003-02-08
NORO,605,,,75.0,30.1,,,6.61,,,,2003-02-08
NORO,609,,,74.0,24.3,,,6.71,,,,2003-02-08
NORO,615,,,140.0,65.5,,1.3,7.61,,,,2003-02-08
BICO,201,42.0,21.0,48.0,9.9,,,,,,,2003-04-05
BICO,202,,,67.1,12.9,,,,,268.0,,2003-04-05
BICO,204,44.0,,38.0,58.9,,,,,,,2003-04-05
BICO,302,,,64.3,11.2,,,,,2162.0,,2003-04-05
BICO,303,,,60.5,9.57,,,,,218.0,,2003-04-05
MIDO,301,39.0,25.0,42.2,5.35,,,,,170.0,,2003-04-05
MIDO,502,39.0,,48.4,10.8,,,,,346.0,,2003-04-05
MIDO,503,47.0,,48.0,11.3,,0.8,,,220.0,,2003-04-05
MIDO,505,48.0,,50.9,15.5,,,,,,,2003-04-05
MIDO,601,25.0,25.0,51.5,9.21,,0.6,,,312.0,,2003-04-05
MIDO,604,37.0,,51.4,8.73,,0.5,,,402.0,,2003-04-05
MIDO,605,,,48.2,11.1,,,,,,,2003-04-05
MIDO,606,,,47.9,12.9,,,,,,,2003-04-05
MIDO,608,,,51.2,8.6,,0.8,,,,,2003-04-05
MIDO,609,37.0,,53.2,22.3,,,,,1578.0,,2003-04-05
MIDO,610,,,55.4,,,0.7,,,,,2003-04-05
MIDO,611,,,50.4,9.46,,0.6,,,,,2003-04-05
MIDO,613,,,56.4,15.0,,,,,,,2003-04-05
MIDO,616,35.0,,71.7,87.5,,0.8,,,3744.0,,2003-04-05
MIDO,617,31.0,,45.4,13.9,,,,,1058.0,,2003-04-05
MIDO,701,50.0,22.0,51.0,10.5,,,,,456.0,,2003-04-05
MIDO,704,52.0,33.0,94.1,5.3,,5.0,,,,,2003-04-05
MIDO,708,52.0,,100.8,4.06,,,,,,,2003-04-05
MIDO,718,45.0,,52.8,31.7,,,,,40.0,,2003-04-05
MIDO,719,44.0,,67.8,12.9,,,,,,,2003-04-05
MIDO,726,53.0,,69.2,8.08,,,,,346.0,,2003-04-05
MIDO,801,39.0,,66.1,13.5,,,,,104.0,,2003-04-05
MIDO,802,37.0,16.0,74.2,4.23,,1.4,,,346.0,,2003-04-05
MIDO,803,20.0,1.0,112.8,6.04,,,,,476.0,,2003-04-05
MIDO,804,,,71.4,23.9,,0.9,,,,,2003-04-05
MIDO,805,,,59.4,15.5,,0.6,,,,,2003-04-05
MIDO,816,26.0,,56.0,5.71,,,,,,,2003-04-05
MIDO,817,41.0,,53.2,7.6,,,,,,,2003-04-05
MIDO,818,33.0,,96.4,13.2,,,,,822.0,,2003-04-05
MIDO,826,48.0,,125.2,91.3,,,,,4962.0,,2003-04-05
MIDO,828,27.0,,68.2,7.35,,,,,292.0,,2003-04-05
MIDO,890,37.0,,79.0,52.5,,,,,218.0,,2003-04-05
NORO,108,29.0,,68.0,27.1,,,,,,,2003-04-05
NORO,115,43.0,,40.9,4.39,,,,,778.0,,2003-04-05
NORO,401,43.0,21.0,47.6,18.5,,0.6,,,62.0,,2003-04-05
NORO,405,42.0,,35.9,5.87,,0.6,,,1980.0,,2003-04-05
NORO,407,33.0,,37.3,10.4,,,,,,,2003-04-05
NORO,501,33.0,,77.0,21.3,,,,,,,2003-04-05
NORO,502,29.0,,164.4,51.5,,,,,316.0,,2003-04-05
NORO,503,38.0,18.0,60.6,16.3,,,,,486.0,,2003-04-05
NORO,505,36.0,,69.3,29.1,,0.9,,,374.0,,2003-04-05
NORO,506,29.0,,82.1,50.0,,0.9,,,,,2003-04-05
NORO,510,18.0,,72.2,24.7,,,,,778.0,,2003-04-05
NORO,512,33.0,,55.9,19.3,,1.2,,,682.0,,2003-04-05
NORO,515,37.0,,57.6,16.1,,,,,320.0,,2003-04-05
NORO,516,24.0,,75.9,125.0,,,,,9222.0,,2003-04-05
NORO,517,22.0,,235.0,12.7,,,,,124.0,,2003-04-05
NORO,519,30.0,,41.1,14.3,,,,,,,2003-04-05
NORO,520,43.0,,154.8,27.1,,1.7,,,2274.0,,2003-04-05
NORO,527,38.0,,146.7,28.1,,1.4,,,1866.0,,2003-04-05
NORO,601,39.0,6.0,592.0,13.6,,,,,,,2003-04-05
NORO,605,38.0,,81.2,15.1,,1.1,,,,,2003-04-05
NORO,607,38.0,,96.7,127.0,,,,,28272.0,,2003-04-05
NORO,609,45.5,,79.2,13.5,,,,,148.0,,2003-04-05
NORO,612,40.0,,88.7,4.92,,,,,,,2003-04-05
NORO,615,25.0,,179.9,3.23,,2.6,,,366.0,,2003-04-05
NORO,616,27.0,,,,,,,,,,2003-04-05
NORO,617,43.0,,,,,,,,,,2003-04-05
NORO,618,,,92.9,126.0,,,,,2518.0,,2003-04-05
NORO,619,44.0,,50.6,9.78,,,,,,,2003-04-05
NORO,627,,,224.0,,,2.1,,,,,2003-04-05
NORO,628,,,121.1,16.5,,,,,5818.0,,2003-04-05
BICO,201,41.0,21.0,56.5,11.2,,3.0,6.3,,,,2003-07-12
MIDO,301,46.0,15.0,43.0,8.5,,2.7,,,98.0,,2003-07-12
MIDO,601,47.0,18.0,59.0,17.9,,2.3,5.7,,6867.0,,2003-07-12
MIDO,701,42.0,,56.4,12.5,,4.2,6.4,,327.0,,2003-07-12
MIDO,704,54.0,,60.8,7.0,,22.7,6.4,,262.0,,2003-07-12
MIDO,801,23.0,,74.4,103.3,,5.3,6.9,,546.0,,2003-07-12
MIDO,802,26.0,6.0,79.0,10.9,,4.7,5.9,,583.0,,2003-07-12
MIDO,803,21.0,5.0,127.0,6.3,,8.7,6.8,,2142.0,,2003-07-12
NORO,401,45.0,20.0,51.4,18.2,,2.6,,,63.0,,2003-07-12
NORO,503,36.0,15.0,64.0,15.5,,3.9,,,3968.0,,2003-07-12
NORO,527,,,129.0,7.6,,5.9,6.2,,1723.0,,2003-07-12
NORO,601,13.0,1.0,556.0,9.2,,23.3,6.2,,20.0,,2003-07-12
NORO,607,,,,,,8.3,,,1076.0,,2003-07-12
NORO,615,19.0,,199.3,1.3,,12.5,6.7,,959.0,,2003-07-12
BICO,201,51.0,27.0,,,,,,,,,2003-10-18
MIDO,301,50.0,21.0,42.0,7.8,,,5.28,,73.0,,2003-10-18
MIDO,601,49.0,20.0,54.0,7.1,,,5.68,,345.0,,2003-10-18
MIDO,701,51.0,18.0,,,,,,,,,2003-10-18
MIDO,704,50.0,22.0,109.0,29.2,,5.0,6.05,,20.0,,2003-10-18
MIDO,801,,,71.0,27.2,,1.1,5.6,,175.0,,2003-10-18
MIDO,802,29.0,12.0,70.0,5.8,,,5.53,,275.0,,2003-10-18
MIDO,803,27.0,3.0,95.0,19.7,,,5.85,,1515.0,,2003-10-18
NORO,401,46.0,28.0,54.0,6.9,,,5.43,,63.0,,2003-10-18
NORO,503,36.0,20.0,80.0,24.8,,,5.04,,249.0,,2003-10-18
NORO,520,42.0,15.0,200.0,25.0,,,6.36,,1722.0,,2003-10-18
NORO,527,32.0,12.0,,26.0,,,6.3,,1145.0,,2003-10-18
NORO,601,32.0,0.0,687.0,35.7,,,5.58,,41.0,,2003-10-18
NORO,607,20.0,5.0,,22.1,,,6.14,,1178.0,,2003-10-18
NORO,615,13.0,14.0,,14.0,,,5.9,,495.0,,2003-10-18
BICO,201,49.0,20.0,,,,,,,,,2004-01-31
BICO,202,,,,,,,,,,,2004-01-31
BICO,301,38.0,12.0,,,,,,,,,2004-01-31
MIDO,301,45.0,23.0,40.0,5.8,,0.7,6.4,,31.0,,2004-01-31
MIDO,601,47.0,26.0,51.0,8.5,,,6.55,,335.0,,2004-01-31
MIDO,704,52.0,23.0,94.0,12.2,,9.5,6.59,,121.0,,2004-01-31
MIDO,801,,,68.0,20.2,,1.5,7.23,,98.0,,2004-01-31
MIDO,802,38.0,12.0,70.0,6.5,,1.3,6.8,,175.0,,2004-01-31
MIDO,803,26.0,12.0,114.0,4.1,,2.6,7.05,,820.0,,2004-01-31
MIDO,811,,,65.0,31.3,,2.2,6.16,,1725.0,,2004-01-31
NORO,401,46.0,20.0,,,,,,,,,2004-01-31
NORO,503,33.0,16.0,65.0,20.3,,0.3,5.5,,24192.0,,2004-01-31
NORO,510,,,64.0,19.2,,1.4,5.75,,74.0,,2004-01-31
NORO,517,,,200.0,17.3,,3.2,6.3,,,,2004-01-31
NORO,520,,,114.0,5.26,,1.9,6.25,,74.0,,2004-01-31
NORO,527,,,117.0,9.4,,1.9,6.39,,31.0,,2004-01-31
NORO,601,23.0,3.0,584.0,8.5,,9.0,5.8,,,,2004-01-31
NORO,605,,,81.0,16.7,,1.2,6.2,,185.0,,2004-01-31
NORO,609,,,70.0,17.4,,1.5,6.3,,,,2004-01-31
NORO,612,39.0,3.0,,,,,,,,,2004-01-31
BICO,101,,,,10.2,,1.9,,,122.0,,
BICO,201,46.0,20.0,41.0,14.9,,1.3,6.3,,591.0,,
BICO,202,43.0,,55.0,9.1,,1.7,6.1,,,,
BICO,203,,,77.0,8.3,,,6.0,,,,2004-04-03
BICO,204,,,62.0,2.2,,,6.0,,,,2004-04-03
BICO,301,,,,,,1.6,,,464.0,,2004-04-03
MIDO,101,,,32.0,3.5,,,6.6,,,,2004-04-03
MIDO,103,,,60.0,10.4,,1.5,6.4,,,,2004-04-03
MIDO,301,45.0,22.0,32.0,3.0,,0.6,6.4,,906.0,,2004-04-03
MIDO,316,49.0,,90.0,2.2,,,6.4,,,,2004-04-03
MIDO,317,48.0,,33.0,3.1,,1.0,6.5,,,,2004-04-03
MIDO,318,50.0,,38.0,2.7,,,6.4,,,,2004-04-03
MIDO,503,41.0,,42.0,6.3,,0.9,6.5,,,,2004-04-03
MIDO,504,38.0,,41.0,,,0.9,6.5,,,,2004-04-03
MIDO,507,52.0,,33.0,3.8,,,6.4,,132.0,,2004-04-03
MIDO,510,39.0,,41.0,7.7,,0.9,6.4,,,,2004-04-03
MIDO,512,45.0,,37.0,4.2,,0.7,6.6,,,,2004-04-03
MIDO,601,53.0,21.0,43.0,4.6,,0.7,6.4,,309.0,,2004-04-03
MIDO,605,,,42.0,6.4,,,6.5,,120.0,,2004-04-03
MIDO,606,,,41.0,7.0,,0.7,6.4,,74.0,,2004-04-03
MIDO,609,,,42.0,5.3,,0.7,6.5,,246.0,,2004-04-03
MIDO,611,,,44.0,7.2,,,6.4,,,,2004-04-03
MIDO,613,,,46.0,8.9,,0.5,6.3,,,,2004-04-03
MIDO,614,31.0,,65.0,5.0,,,6.5,,,,2004-04-03
MIDO,616,,,56.0,5.8,,0.5,6.4,,428.0,,2004-04-03
MIDO,617,,,39.0,8.7,,0.8,6.5,,,,2004-04-03
MIDO,701,27.0,11.0,52.0,10.7,,1.3,6.0,,211.0,,2004-04-03
MIDO,702,35.0,,43.0,7.2,,0.9,6.5,,,,2004-04-03
MIDO,704,52.0,31.0,77.0,2.3,,5.5,6.4,,161.0,,2004-04-03
MIDO,708,52.0,,108.0,2.2,,,6.3,,,,2004-04-03
MIDO,718,42.0,,32.0,24.4,,1.0,6.2,,,,2004-04-03
MIDO,719,,,,8.6,,1.3,,,121.0,,2004-04-03
MIDO,801,,,57.0,11.2,,1.2,6.3,,,,2004-04-03
MIDO,802,15.0,11.0,61.0,3.4,,,6.4,,175.0,,2004-04-03
MIDO,803,30.0,11.0,89.0,2.3,,1.9,6.3,,504.0,,2004-04-03
MIDO,807,35.0,,62.0,3.3,,1.5,6.8,,,,2004-04-03
MIDO,810,31.0,,48.0,4.7,,,6.5,,,,2004-04-03
MIDO,811,,,51.0,2.6,,1.5,6.5,,691.0,,2004-04-03
MIDO,812,35.0,,76.0,2.1,,,6.0,,,,2004-04-03
MIDO,814,25.0,,43.0,3.0,,,6.6,,,,2004-04-03
MIDO,816,41.0,,53.0,9.8,,,5.9,,,,2004-04-03
MIDO,817,41.0,,43.0,3.8,,,6.3,,,,2004-04-03
MIDO,818,43.0,,79.0,3.0,,,6.4,,,,2004-04-03
MIDO,820,44.0,,41.0,4.8,,,6.0,,,,2004-04-03
MIDO,821,29.0,,60.0,5.4,,,6.4,,,,2004-04-03
MIDO,825,38.0,,142.0,3.4,,,6.0,,,,2004-04-03
MIDO,826,,,59.0,1.6,,1.4,6.3,,,,2004-04-03
MIDO,828,17.0,,59.0,10.0,,,6.4,,213.0,,2004-04-03
MIDO,831,40.0,,91.0,3.0,,,6.3,,,,2004-04-03
NORO,108,42.0,,54.0,4.2,,0.8,6.1,,,,2004-04-03
NORO,109,,,32.0,3.6,,,6.6,,,,2004-04-03
NORO,110,44.0,,58.0,13.5,,1.3,5.9,,,,2004-04-03
NORO,111,39.0,,43.0,8.9,,,5.9,,,,2004-04-03
NORO,114,22.0,,42.0,7.4,,,6.1,,,,2004-04-03
NORO,115,,,33.0,4.7,,,6.4,,,,2004-04-03
NORO,201,35.0,,42.0,11.5,,0.4,6.0,,,,2004-04-03
NORO,301,41.0,,53.0,10.0,,,6.1,,422.0,,2004-04-03
NORO,401,46.0,31.0,39.0,6.1,,0.8,6.5,,98.0,,2004-04-03
NORO,405,46.0,,38.0,4.2,,,6.1,,,,2004-04-03
NORO,502,,,116.0,10.9,,2.3,6.3,,62.0,,2004-04-03
NORO,503,30.0,8.0,55.0,8.5,,1.1,6.3,,3255.0,,2004-04-03
NORO,504,39.0,,,,,,,,,,2004-04-03
NORO,505,,,,5.0,,,,,,,2004-04-03
NORO,506,,,105.0,11.9,,1.9,6.3,,,,2004-04-03
NORO,510,,,,13.3,,1.0,,,,,2004-04-03
NORO,511,31.0,,,11.7,,,,,,,2004-04-03
NORO,512,25.0,,59.0,15.3,,,6.0,,624.0,,2004-04-03
NORO,513,33.0,,59.0,,,,6.0,,,,2004-04-03
NORO,516,26.0,,,1.1,,2.9,,,,,2004-04-03
NORO,517,,,159.0,10.6,,1.7,6.3,,63.0,,2004-04-03
NORO,520,,,98.0,3.2,,1.6,6.2,,240.0,,2004-04-03
NORO,527,,,117.0,3.5,,1.6,6.1,,336.0,,2004-04-03
NORO,601,17.0,3.0,591.0,8.0,,5.5,5.8,,,,2004-04-03
